Batch Size: 32
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	68.13	51.00
2	78.12	76.25
3	68.66	62.00
4	70.55	73.50
5	55.11	50.00
6	53.52	51.50
7	48.83	50.00
8	56.70	50.00

Batch Size: 64
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	49.89	50.00
2	56.40	74.50
3	79.71	81.75
4	81.83	80.00
5	82.97	77.75
6	85.39	84.25
7	88.42	83.75
8	87.28	86.50

Batch Size: 128
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	91.45	84.00
2	91.67	86.50
3	91.52	82.25
4	91.67	85.75
5	92.96	84.25
6	93.19	84.00
7	94.02	83.75
8	91.67	84.75

Batch Size: 256
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	94.25	86.25
2	92.96	85.25
3	95.46	84.25
4	94.47	85.50
5	94.02	85.25
6	95.08	84.00
7	94.40	81.00
8	89.33	84.75

